idiom,definition
live and let live,To be tolerant; to enjoy the pleasures and opportunities which life offers and to allow others to do the same.
"live fast, die young",An individual who chooses to live an exciting but dangerous lifestyle risks dying prematurely.
"location, location, location",The most important consideration in buying real estate is its location.
"long absent, soon forgotten",Love fades away when people are distant and do not maintain close physical contact.
"long ways, long lies",Someone who returns from a far-off region can tell lies without fear of being contradicted.
lookers-on see most of the game,Those who do not participate in an event observe or experience it more of it than the participants.
looks can be deceiving,"A person, place, thing, or situation can be very different from how it seems or appears to be at first glance."
loose lips sink ships,Saying too much or releasing confidential information can have dangerous consequences.
loss and gain are brothers twain,An individual's wealth can easily be lost.
love conquers all,Love is a powerful force that overcomes all obstacles.
love is blind,A person who is in love can see no faults or imperfections in the person whom they love.
love is love,"Love in LGBTQ relationships is equivalent (e.g. in genuineness, validity, personal experience, etc.) to love in heterosexual relationships."
"love the sinner, hate the sin","Do not treat people badly because of their faults, but do not go so far as to accept or approve the faults themselves."
"lucky at cards, unlucky in love",Someone who enjoys good fortune in games will experience romantic frustration.
mackerel sky and mare's-tails make tall ships carry low sails,Cirrus clouds forebode bad weather.
make hay while the sun shines,To act while an opportunity exists; to take action while a situation is favorable.
make it do or do without,"If you don't have a lot of money, extend the life of what you have."
make lemonade,"Short for when life gives you lemons, make lemonade (to make the best out of a difficult situation)."
man is a wolf to man,"Humans are often cruel, predatory, and inhumane towards each other."
manners maketh man,A person may be judged according to his behaviour towards other people
man shall not live by bread alone,People need more than food and shelter to live a fulfilling life.
many a mickle makes a muckle,"A lot of small amounts, put together, become a large amount."
many hands make light work,A large number of people cooperating can perform tasks easily.
"marry in haste, repent at leisure",Getting married too soon will lead to a bad marriage.
might makes right,What is right or wrong is determined by power and strength; power justifies itself.
mighty oaks from little acorns grow,Something great can come from a modest beginning.
misery loves company,Misery is easier to bear when one is not the only one miserable.
misfortunes never come singly,"Bad things or situations always come in groups or streaks, they never come in a single way."
misters before sisters,A woman should prioritize her boyfriend or husband over her female friends.
mocking is catching,"Be careful of making fun of others, lest others make fun of you."
money can't buy happiness,"Money can purchase external things, but true happiness comes from within oneself."
money does not smell,"The value of money is not affected by the business it comes from, even from the most unpleasant one."
money doesn't grow on trees,Wealth cannot be obtained without some effort; hence currency is not always available for a prospective purchase.
money is the root of all evil,The desire for money is the root cause of all evil.
money talks,Money or moneyed interests have power.
"money talks, bullshit walks","Attempting to accomplish a goal by demonstrating possession of material resources will succeed, while attempting to accomplish the same goal through mere rhetoric will fail."
"money talks, wealth whispers","A person who is merely materially rich will make his riches known to others, but a truly wealthy person (both materially and of character) will not be ostentatious about it."
money won is twice as sweet as money earned,It is more enjoyable to obtain money by gambling than to obtain it by working.
"more haste, less speed","When one is in a hurry, one often ends up having less success and completing a task more slowly."
"move your feet, lose your seat","If you stand up from your seat, someone else will take it."
murder will out,A murderer will always be discovered.
nearly never bulled a cow,Near enough is not good enough.
nearly never won the race,Near enough is not good enough.
necessity is the mother of invention,A person who is in great need of something will find a way to obtain it.
necessity knows no law,"A person who is in great need of something will find a way to obtain it, and violate the law if needed."
needs must when the devil drives,There is sometimes no choice but to do some specific thing.
neither a borrower nor a lender be,"It is not good to borrow money from anybody, lest you will lose their trust and friendship."
never ask the barber if you need a haircut,Do not seek advice from a biased party.
never meet your heroes,"It is unwise to seek personal acquaintance with people whom one has regarded with high esteem, as they often fail to fulfill one's expectations, resulting in disappointment."
never put off until tomorrow what you can do today,Do not procrastinate whatever that can be done today until tomorrow.
never waste a crisis,Exploit any possible opportunity that arises from difficult situations.
nice guys finish last,"People who are decent, friendly, and agreeable tend to be unsuccessful because they are outmaneuvered or overwhelmed by others who are not so decent, friendly, or agreeable."
"nine you're fine, ten you're mine","A police officer is likely to pull over a motorist who exceeds the speed limit by 10 or more miles per hour, but may overlook lesser amounts."
no good deed goes unpunished,Beneficial actions often go unappreciated or are met with outright hostility or demands for further work.
"no guts, no glory",Success will not be achieved without hard work and struggle.
"no hymen, no diamond",A man should only marry a woman who is a virgin.
no man is an island,All people are connected to and dependent on other people.
"no matter how much milk you put in coffee, it's still coffee",One's blood quantum (percentage of person's ancestors who are full-blooded indigenous people) does not negate indigenous identity.
"no matter how thin you slice it, it's still baloney","Regardless of how many clever points or fine distinctions one makes, what one is saying is still false or is still nonsense."
"no mill, no meal","If one does not work, one shall not eat."
no news is good news,A lack of information reported about a situation suggests that nothing unfortunate has occurred.
no one is born a master,Cleverness and education can be gained only by effort.
no one should be judge in his own cause,One ought not be permitted to decide a case in which one has an interest.
"no pain, no gain",One must be willing to endure some inconvenience or discomfort in order to achieve worthwhile goals.
no rest for the weary,Even people who are tired must still work.
no rest for the wicked,Eternal torment in hell awaits sinners.
no rose without a thorn,"To enjoy a pleasant subject or thing, one must take trouble and hardship"
no smoke without fire,Gossip and accusations are often substantiated by fact.
not all heroes wear capes,Real people are as capable of being heroic as fictional superheroes.
nothing is certain but death and taxes,"Nothing in life is certain nor can be taken for granted, except (humorously) that one will die one day and that one is required to pay taxes."
nothing succeeds like success,People who are already successful tend to have additional successes.
"nothing ventured, nothing gained","If one takes no risks, one will not gain any benefits."
no time like the present,Clipping of there's no time like the present.
oil and water don't mix,Black people and white people should not form relationships; an admonition against interracial relationships.
old habits die hard,Established habits are difficult to change.
old sins have long shadows,Past misdeeds are liable to return to haunt a person.
"once a man, twice a child","A man is born as a child, grows to adulthood, and consequently enters old age, when he deteriorates and reverts to a childlike state."
"once an adult, twice a child","One is born as a child, grows to adulthood, and consequently enters old age, when one deteriorates and reverts to a childlike state."
"once a thief, always a thief",A person found to have stolen another's property will always be marked as a thief.
"once a woman, twice a child","A woman is born as a child, grows to adulthood, and consequently enters old age, when she deteriorates and reverts to a childlike state."
"once bitten, twice shy",One is cautious if one has been hurt in the past.
"once you go black, you never go back",Once someone has had sexual intercourse with a black person they will not want to return to having sexual intercourse with nonblack people.
one bad turn deserves another,One act of malice should be paid back by another act of malice.
one can run but one can't hide,There is nothing someone can do to evade something.
one can't hold two watermelons in one hand,One should not attempt to take on more than one can handle.
one good turn deserves another,One act of kindness should be paid back by another act of kindness.
one hair of a woman can draw more than a hundred pair of oxen,Women have great influence on their male partners or husbands and can have anything done for them.
one man's loss is another man's gain,Some people's misfortune is other people's fortune.
one man's meat is another man's poison,People have differing tastes; what pleases one person may displease another.
one man's terrorist is another man's freedom fighter,one's view on war and political violence depends on perspective
one man's trash is another man's treasure,What is useless to one person is valuable to another.
one may as well hang for a sheep as a lamb,"If one is going to commit a sin, it may as well be a major one as a minor one."
one nail drives out another,"New people, things, or customs eventually supplant older ones."
one's time is one's own,A time when one's work or efforts have not been exchanged as one's labor time in the framework of industrial capitalism.
one swallow does not a summer make,One instance of an event (such as the arrival of a single bird) does not necessarily indicate a trend.
only dead fish go with the flow,Conforming to the influences of others does not allow a person to follow their own goals and desires.
only fools and horses work,"A philosophy of life, holding that people who do not look for (and find) an easy way of earning a living are foolish."
ontogeny recapitulates phylogeny,"The physical, cultural, moral, or intellectual development of each individual passes through stages similar to the developmental stages of that individual's species, society, or civilization. Not taken literally since the late 19th century."
opinions are like assholes,"Everyone has opinions, and most people's opinions are of exceedingly poor quality."
opportunity knocks at every man's door,Everybody gets opportunities.
opportunity makes the thief,People are more likely to steal something if presented with a convenient opportunity to do so.
opportunity seldom knocks twice,Opportune times seldom appear again.
opposites attract,People who are completely different make ideal partners.
"other days, other ways",People of the past thought and acted differently.
"out of sight, out of mind","When something is not nearby, it is forgotten about."
out of the mouths of babes,"From the comments of children, who are honest and innocent, . . . (comes truth or wisdom)."
patience is a virtue,It is better to be patient than impatient.
people who live in glass houses shouldn't throw stones,One should not criticize others if one has similar weaknesses.
perfect is the enemy of good,Insistence on perfection often precludes the opportunity for something worthwhile.
"physician, heal thyself",One should attend to one's own defects before presuming to advise others about theirs.
"play stupid games, win stupid prizes","If one makes poor decisions, then one should expect negative consequences."
plus ça change,"The more it changes, the more it's the same thing (sometimes loosely translated as the more things change, the more they stay the same)."
possession is nine points of the law,Dated form of possession is nine-tenths of the law.
possession is nine-tenths of the law,One who has possession of a thing has some right to it; a popular statement of the doctrine of adverse possession.
poverty is a state of mind,Someone is only as poor as they perceive themselves to be.
"power corrupts, absolute power corrupts absolutely",The corrupting influence of power is total when one's power is total.
practice makes perfect,"If one practices an activity enough, one will eventually master it."
practice makes progress,"If one practices an activity enough, one will steadily make progress and eventually be able to master it in time."
pressure makes diamonds,A situation where the pressure that a person is under makes them demonstrate their potential.
prevention is better than cure,It is better to prevent the creation of a problem than to have to deal with it afterwards.
pride comes before a fall,A person who is excessively proud will often suffer a setback or failure.
procrastination is the thief of time,"If one puts off doing what one ought to do, one will end up not having enough time to do it properly."
proverbs run in pairs,"Every proverb seems to be contradicted by another proverb with an opposing or contradictory message, such as ""too many cooks spoil the broth"" and ""many hands make light work."""
put one's hand to the plough,To begin an undertaking.
"ready, fire, aim","Used as a reminder that prompt action is often better than thoroughly planned action, especially in business."
real men don't eat quiche,The stereotypical man does not do things that are considered effeminate.
"repetition, repetition, repetition",Repeated practice and exposure to material is vital for learning it through memory retention.
revenge is a dish best served cold,Revenge is best or most satisfying when delayed.
revolutions are not made with rosewater,Transformative changes require sacrifice.
rules are made to be broken,It is acceptable to break rules.
rules are rules,The rules are certain and cannot be ignored or worked around.
"same shit, different toilet",The same problems persist even in a supposedly different situation (usually emphasizing irony and human folly).
scientia potentia est,"Knowledge is power; with knowledge or education, one's potential or abilities in life will certainly increase."
scratch a liberal and you'll find a fascist,People who identify as liberals (usually rather than leftists) are not uncomfortable with fascist beliefs.
seeing is believing,One needs to see something in order to believe it; visible facts cannot be denied.
seek and ye shall find,Something can be found if it is looked for.
self-praise is no recommendation,Empty boasting reflects poorly on the qualities of the braggart.
semper ubi sub ubi,"Always wear underwear. (Literally, 'always where under where')."
sex sells,The use of sex appeal is a successful marketing tactic.
shallow brooks are noisy,People who do not consider things deeply often chatter or talk a lot.
shared joy is double joy,Having company enhances the pleasure of good times.
shit rolls downhill,Problems originating at the top of the chain of command or organizational hierarchy tend to become the responsibilities of those lower down.
short reckonings make long friends,Borrowed money should be paid back as soon as possible.
"show, don't tell","Advice to writers: convey an impression by the way that events are described in the narrative, and not by explicitly stating facts."
shy bairns get nowt,"If you're too shy, or don't ask, you will not get what you want."
silence is consent,A lack of response to an action is a tacit approval of that action.
silence is golden,Peace and quiet have great value.
sisters before misters,A woman should prioritize her female friends over her boyfriend or husband.
slow and steady wins the race,Patient work will eventually conquer any problem.
"slow is smooth, smooth is fast",Approaching difficult situations slowly and methodically can lead to faster and more efficient outcomes.
small rain lays great dust,Only a small amount of something can change or alter a situation.
snitches get stitches,People who snitch or tattle will in return receive repercussions.
so far so bad,"Up to this point, everything has gone badly."
"some days you get the bear, other days the bear gets you",One cannot always overcome a powerful adversary.
something is better than nothing,It is better to be contented over something than to have nothing at all.
sometimes you eat the bear and sometimes the bear eats you,Sometimes you win and sometimes you are defeated; everybody has successes and failures.
"sow the wind, reap the whirlwind","Every decision has consequences; a person's actions will come back to them; if one starts trouble or takes actions in spite of the discontent they cause, one will incur negative consequences."
spare the rod and spoil the child,"If one does not discipline a child, the child will never learn obedience and good manners."
speak softly and carry a big stick,"Do not boast or utter verbal threats, but do make others aware that you are prepared to use physical or military force if necessary."
"speech is silver, silence is golden",Not saying anything is often better than speaking too much or saying something inappropriate.
spitters are quitters,It is better to swallow a sexual partner's semen after oral sex than to spit it out.
start from where you are,Achievement requires realism.
sticks in a bundle are unbreakable,A group of people who are cooperating can succeed in a situation where an individual person cannot.
still waters run deep,"A person with a calm appearance has, or may have, considerable inner emotion, character, or intellect."
strike while the iron is hot,"To strike a hot piece of metal, especially iron, with a mallet or other tool before it cools, while it is still hot enough to be shaped."
stupid is as stupid does,Stupid behaviour indicates stupidity.
"success depends on your backbone, not your wishbone","Success is achieved by hard work, not by merely wishing for it."
"success has many fathers, failure is an orphan","Many people will seek credit for success, but few will accept responsibility for failure."
success is a great deodorant,The attainment or achievement of success eliminates or overshadows one's past misdeeds or failures.
sufficient unto the day is the evil thereof,There is no need to worry about the future; the present provides enough to worry about.
sunlight is the best disinfectant,Transparency about the workings of an organization prevents corruption.
take care of the pennies and the pounds will take care of themselves,"If one takes care of little things one at a time, they can add up to big things."
take the cash and let the credit go,Exploit and enjoy the opportunities and pleasures available here and now and do not invest effort pursuing prospective future gratifications.
talk is cheap,It is easy to make boastful or unrealistic statements which are not supported by actions or evidence.
teamwork makes the dream work,It is easier to achieve major goals when working as a team.
that's the way it goes,That is the way things happen.
that's the way life is,That is the way things happen
that's the way the ball bounces,That is the way things happen
that's the way the cookie crumbles,That is the way things happen; that's life.
that's the way the mop flops,That is the way things happen.
the apple does not fall far from the tree,"A child grows up to be similar to its parents, both in behavior and in physical characteristics."
the best laid plans of mice and men often go awry,"No matter how well a project is planned, accidents or misfortune can still occur."
the best things in life are free,"The most valuable things in life (e.g. friendship, courtesy) cost nothing."
"the bigger they are, the harder they fall","The larger or the higher of a rank something is, the more disastrous and spectacular its downfall."
the candle that burns twice as bright burns half as long,"The more intensely someone or something works or acts, the more quickly that person will burn out or that thing will end."
the captain goes down with the ship,"A leader is ultimately responsible for the penalities of a catastrophe, even if they result from external causes or the misactions of others under the leader's purview."
the cat would eat fish but would not wet her feet,"In order to achieve something, it is inevitable and necessary that some sacrifices be made."
the chickens come home to roost,A person's past wrongdoings will return to negatively affect them.
the cobbler always wears the worst shoes,People often fail to apply their skills to themselves.
the cobbler's children are the worst shod,One often neglects those closest to oneself.
the course of true love never did run smooth,There will always be issues or problems in a romantic relationship.
the cowl does not make the monk,The superficial trappings of something are unrelated to its true essence.
the customer is always right,Service staff should give high priority to customer satisfaction.
the darkest hour is just before the dawn,The worst situation comes before a good one.
the devil is in the details,"The specific provisions of, or particular steps for implementing, a general plan, policy, or contract may be complicated, controversial, or unworkable."
"the dogs bark, but the caravan goes on","History (or progress) moves ahead, no matter the criticism it may attract."
the dose makes the poison,The damage that a substance causes is determined more by its quantity than by its essence.
the early bird gets the worm,Whoever arrives first has the best chance of success; some opportunities are available only to the first competitors.
the end justifies the means,Morally wrong actions are sometimes necessary to achieve morally right outcomes; actions can be considered morally right or wrong only by virtue of the morality of the outcome.
the enemy of my enemy is my friend,"It is sometimes necessary to cooperate with a person one does not like or agree with, in order to combat a common threat."
the eyes are the window to the soul,One can tell much about a person's character or personality from their eyes.
the family that prays together stays together,Shared religious observance strengthens family stability.
the fewer the better fare,Things are better when fewer people are involved.
the first step is always the hardest,The hardest part of a process is always the beginning; things get easier afterwards.
the first turn of the screw pays all debts,One's problems on shore may be forgotten at the first turn of one's ship's propeller.
the fish rots from the head,Bad leaders harm an organization.
the fox may grow grey but never good,"One cannot change one's nature, no matter how much time passes."
the freaks come out at night,Those who are inclined to engage in mischievous or criminal behavior prefer to commit such activity during the evening.
the fucking you get isn't worth the fucking you get,The sexual satisfactions that one receives from a spouse or romantic partner are not sufficient to compensate for the significant periods of bad faith and unpleasant treatment which such relationships routinely involve.
the game is not worth the candle,The process or result is not worth the effort.
the good die young,"Well-regarded people who are morally upright, kind, and beneficent tend to die at a younger age than do most people."
the grass is always greener on the other side,The circumstances of others seem more desirable than one's own but in reality often are not.
the grey mare is the better horse,"The wife, not the husband, is in charge of the household."
the hand that rocks the cradle rules the world,"Women, particularly mothers, have a decisive influence on the future direction of society because they raise and nurture the next generation."
the heart wants what it wants,Who one falls in love with is not a rational or deliberate decision.
the highest branch is not the safest roost,A coveted position of power does not guarantee safety to the holder.
the house always wins,"In a casino, all gambling is designed so that the house (i.e. the casino owners) will always net a profit, regardless of the successes of individual patrons."
the jug goes to the well until it breaks,"Even though something can be used well at the moment, it will eventually break down as everything does."
the laborer is worthy of his hire,People deserve to be rewarded for their efforts.
the law is an arse,Misconstruction of the law is an ass
the law is an ass,"The law, as created by legislators or as administered by the justice system, cannot be relied upon to be sensible or fair."
the longest pole knocks the persimmon,Whoever has the most advantages has the best chance of success.
the map is not the territory,"Our models of the world, and our sensations of the world, are not the true world."
the mill cannot grind with water that is past,Do not cry over spilt milk; what has already happened cannot be changed or repaired.
the mills of the gods grind slowly,"Justice may arrive slowly, but it cannot be avoided."
the more the merrier,Something is more fun with more people.
"the more things change, the more they stay the same",Turbulent changes do not affect reality on a deeper level other than to cement the status quo.
"the more you know, the higher you go",Expertise leads to career promotion.
the nail that sticks out gets hammered down,Those who are too different or conspicuous get criticized or sanctioned by others.
"the odds are good, but the goods are odd","There are plenty of potential romantic/sexual partners available, but many of them are strange or eccentric people."
the pen is mightier than the sword,More influence and power can be usurped by writing than by fighting.
the pitcher goes so often to the well that it is broken at last,"When something is used enough times, it will eventually break down."
the poor we will always have with us,Poverty for some is inevitable.
the proof of the pudding is in the eating,One can only claim that something is a success after it has been tried out or used.
there are bad apples in every orchard,Every community and demographic has troublesome members.
there are more horses' asses than horses,"There are plenty of obnoxious people (in the world, or in a specified place or situation). Apparently it can also refer to political situations."
there are no atheists in foxholes,"In times of extreme stress or fear, even those who do not believe in a benevolent higher power will hope that one exists."
there are none so blind as those who will not see,Understanding cannot be forced on someone who chooses to be ignorant.
there are plenty of fish in the sea,There are many more potential opportunities available.
there are two sides to every question,One should not make a judgement until one hears the other side.
there is an exception to every rule,Usually said in a situation when the rule is incorrect and unusable.
there is a time and place for everything,Certain things are appropriate at a certain time and place.
there is no honor among thieves,Most thieves lack a sense of honor and are not to be trusted.
"there is no such thing as bad weather, only bad clothing",Any type of weather can be endured if adequate clothing is worn.
there is nothing more permanent than a temporary solution,Short-term provisions tend to gain traction and become difficult to remove.
there is nothing new under the sun,There is nothing truly novel in existence; every new idea has some sort of precedent or echo from the past.
there is reason in the roasting of eggs,There is a reason behind even the most odd and seemingly unnecessary actions.
there is safety in numbers,"There is a purported decrease in the likelihood of being the victim of an attack, accident, or other unfortunate event, as a result of being in a team or group."
there is strength in numbers,There is more strength in groups than individuals.
there may be snow on the rooftop but there is fire in the furnace,"Even a person in his or her senior years, with gray hair, can still have ambition and energy, especially sexual energy."
there's a first time for everything,Something could happen even if it has not happened before.
there's a lid for every pot,Somewhere in the world there is a compatible romantic partner for everybody.
there's always a bigger fish,"No matter how large or intimidating a person or thing is, there is likely to be an even larger or more intimidating person or thing somewhere."
there's a rotten apple in every barrel,There is a bad person in any group.
there's a sucker born every minute,"&nbsp;There is a great number of fools in the world who can be easily swindled, and they will always exist."
there's many a good tune played on an old fiddle,Just because something or someone is old does not mean that it or they are no longer useful or worthwhile.
there's many a slip twixt cup and lip,"In any situation, however well planned, something can always go wrong."
there's more than one way to skin a cat,A problem generally has more than one solution; there is more than one way to achieve a goal.
there's no accounting for taste,"In subjective matters of taste, people have wildly different opinions; disagreements about matters of taste cannot be objectively resolved."
there's no business like show business,The domain of the entertainment industry is more dazzling and exciting than any other business.
there's no fool like an old fool,"If a person does not develop wisdom with age, then their foolishness is all the more obvious and shameful."
there's no place like home,One feels most comfortable at home.
there's no point crying over spilt milk,You shouldn't be upset over something that can't be undone.
there's no time like the present,Now is an appropriate time to take a particular action.
the revolution will not be televised,"A societal revolution will happen genuinely and in real life, and will not be caught on film."
the road to hell is paved with good intentions,Well-intended acts can potentially lead to disasters.
the shoemaker's children go barefoot,One often neglects those closest to oneself.
the sky is the limit,Nothing is impossible or out of reach.
the spirit is willing but the flesh is weak,"As much as one wishes to achieve something, the frailties of the human body often make it impossible. Sometimes extended to jocular or organizational referents."
the squeaky wheel gets the grease,The person who complains or speaks up most loudly receives the redress or attention which they seek.
the strong do what they can and the weak suffer what they must,"The weak cannot resist the decisions of the strong; power, not morality, decides the outcome of any dispute."
the tongue wounds more than a lance,Insults and offensive speech hurt more than physical injuries.
the way to a man's heart is through his stomach,Cooking food for a man is a good way to win his affections.
the wheel turns,Time moves forward; circumstances change; life continues.
the wolf may lose his teeth but never his nature,"One cannot change one's nature, no matter how much time passes."
the world is one's lobster,"Intentional misrendering of the proverb ""the world is one's oyster""."
the world is someone's oyster,All opportunities are open to someone; the world is theirs.
they hate us 'cause they ain't us,The reason that certain people are disliked is that others are jealous of them.
they'll do it every time,"One must be vigilant and cognizant of challenging and hazardous surroundings or situations, or the usual events will occur."
third time's a charm,One is sure to succeed at a task or event on the third try.
this too shall pass,"Nothing, good or bad, lasts forever; all circumstances are temporary."
"those that have, get",People who already have wealth and status are the most likely to acquire additional wealth and status (usually with the implication that the distribution of life's benefits and opportunities is unfair).
"those who can't do, teach",It is easier to get a job teaching how to do something than to get a job actually doing that thing.
those who say it cannot be done should not interrupt those doing it,People who dispute that a task is possible should not impede those people who attempt to do it.
"those who will not when they may, when they will they shall have nay",One should take immediate advantage of an opportunity that may not be available later.
three strikes and you're out,"Three mistakes, rule breaches etc. will result in termination, disqualification or similar."
"throw dirt enough, and some will stick","If enough allegations are made about someone or something, then even if they are all untrue, people's opinion of the person or thing will be diminished."
throw enough mud at the wall and some of it will stick,"Try the same thing (or similar things) often enough, and, even if the general standard is poor, sometimes one will be successful."
"throw enough mud at the wall, some of it will stick","To attempt the same strategy or technique (or similar ones) often enough, and, even if the general standard is poor, sometimes one will be successful."
time and tide,time and tide wait for no man
time and tide wait for no man,Opportunities will not wait; action should be undertaken without delay.
time flies when you're having fun,Time seems to pass more quickly when one is enjoying oneself.
time heals,Ellipsis of time heals all wounds.
time heals all wounds,Negative feelings eventually fade away.
time is money,"Money is wasted (in lost wages, missed opportunities, etc.) when a person's time is not used productively; time is valuable and should not be wasted."
time spent laughing is time spent with the gods,Laughter is bliss.
timing is everything,Consideration of other events can greatly influence some desired outcome (such as whether a joke is well received).
today is a good day to die,"An expression of willingness, even eagerness, to give one's life for a cause."
to each his own,Every person is entitled to his or her personal preferences and tastes.
to err is human,Everyone makes mistakes.
"to err is human; to forgive, divine",Extended form of to err is human
tomorrow is another day,Tomorrow will bring new opportunities and a fresh start for one's endeavors.
tomorrow never comes,A goal or action which is postponed until a future day is often never accomplished; do not procrastinate.
too many cooks spoils the broth,Uncommon form of too many cooks spoil the broth.
too many cooks spoil the broth,"If too many people participate in a task, especially in a leading role, the task will not be done very well."
too much bed makes a dull head,Too much inactivity makes one less mentally acute.
too much pudding will choke a dog,One can have too much of a good thing.
too much water drowned the miller,One may have too much of a good thing.
to the victor go the spoils,"The winner of a conflict gains additional benefits, beyond the subject of the conflict."
to thine own self be true,Be yourself; be true to yourself; do not engage in self-deception.
"treat them mean, keep them keen",A woman will be more interested in a man if he is not kind to her.
"trust everybody, but cut the cards","Have general faith in the good intentions of others, but never neglect to take appropriate precautions against being deceived or cheated."
truth is stranger than fiction,Sometimes actual events are stranger than imagined ones.
truth will out,A mystery will always be solved; truth will eventually and inevitably be discovered.
turnabout is fair play,It is allowable to retaliate against an enemy's dirty tricks by using the same ones against them.
two can play that game,The tactics or strategies of an adversary can also be used against them.
two heads are better than one,Some tasks may be accomplished more easily by two (or more) people working together than by one working alone.
"two's company, three's a crowd",One companion is preferable to two.
two wrongs don't make a right,A wrongful action is not a morally appropriate way to correct or cancel a previous wrongful action.
two wrongs make a right,A logical informal fallacy whereby a wrongful action is justified by the commission of another.
underpromise and overdeliver,Improve business interactions and relationships with customers by setting modest expectations and then exceeding those expectations by delivering more than what was initially promised or expected.
uneasy lies the head that wears a crown,A person of high rank or status has more problems than those of lower rank.
"united we stand, divided we fall",People are more successful as a group than as individuals.
unity is strength,Being united makes us become stronger.
use it or lose it,Skills or knowledge that are seldom applied are likely to be lost with time.
variety is the spice of life,Variety is what makes life interesting.
walls have ears,"There is always a risk of being overheard, so one should be careful about what one says."
wanton kittens make sober cats,People who are unruly and reckless in youth may nevertheless turn out to be responsible adults.
"waste not, want not",If one is not wasteful then one will not be in need.
water seeks its own level,"People of similar interests, abilities, morals, etc. tend to end up in each other's company."
we are where we are,"acknowledging the shortcomings of the present situation, while focusing on dealing with it rather than either dwelling on the causes or regretting what might have been"
well begun is half done,Much depends on the beginning of an endeavor.
what doesn't kill you makes you stronger,Hardship builds moral character.
what goes around comes around,"A person's actions, whether good or bad, will often have consequences for that person."
what goes up must come down,"All trends will end; a rise (in the stock market, in a person's political or social influence, etc.) will be followed by a fall."
what has been seen cannot be unseen,"Repulsive, disturbing, or horrific sights can never be erased from memory once they have been seen."
what's bred in the bone will come out in the flesh,One's behavior or characteristics are determined by one's heredity.
what's done is done,"Events that have already taken place cannot be changed and actions that have already been committed cannot be undone, so it is best not to dwell on them."
what's good for the goose is good for the gander,"Literally, what is good for a female goose is equally good for a male goose (gander); or, what is good for a woman should be equally as good for a man."
what's sauce for the goose is sauce for the gander,"If something is acceptable for one person, it is acceptable for another (often of the opposite gender)."
"what the eye doesn't see, the heart doesn't grieve over",Problems and losses that do not reach the attention cause no worries and no grief.
what you lose on the swings you gain on the roundabouts,"There are both gains and losses in life; you win some, you lose some."
what you see is what you get,The image corresponds to the reality.
"when in doubt, do nowt","When faced with a difficult decision, it is better not to take unnecessary risks."
"when it rains, it pours","Unfortunate events occur in streaks or clusters, often in short periods of time."
"when life gives you lemons, make lemonade",You should always make the best out of difficult situations.
"when one door closes, another opens","When one opportunity is lost, another opportunity soon becomes available."
when the cat's away,"Ellipsis of when the cat's away, the mice will play."
when the cat's away the mice will play,"In the absence of a controlling entity, subordinates will take advantage of circumstances."
"when the going gets tough, the tough get going","In difficult times, it is the strong-willed who take action."
"when the looting starts, the shooting starts",Lethal force is justified against rioters and looters.
"when you hear hoofbeats, think of horses, not zebras","When diagnosing a patient's symptoms, common ailments should be considered as more probable than rare ones."
"when you mess with the bull, you get the horns","If you provoke someone dangerous, you can expect an aggressive reaction."
"when you're up to your neck in alligators, it's hard to remember that your initial objective was to drain the swamp","It is easy to lose sight of one's initial objective, becoming caught up in subtasks or in tasks only tangentially related to the original goal."
where there is a will,Ellipsis of where there is a will there is a way.
where there is a will there is a way,"If someone wants or wills something strongly enough, a way can be found to make it happen."
where there's muck there's brass,"There is money to be made even in unpleasant, dirty jobs."
where there's no sense there's no feeling,A living thing of little or no intelligence does not feel pain or other negative sensations.
"where there's smoke, there's fire","If there is a hint of something occurring it could indeed be true, but such rumors should be taken with a grain of salt."
"wherever you go, there you are",One cannot run from one's problems indefinitely.
where you stand depends on where you sit,One's position in an organization dictates one's stance on an issue.
"while the grass grows, the steed starves","In the process of trying to achieve something, one's aspirations may be realized too late."
who keeps company with the wolf will learn to howl,A person tends to acquire the characteristics of those with whom they associate.
who pays the piper calls the tune,The person who pays for something gets to say how it should be done.
why buy a book when you can join a library,Being available for sexual relationships with various people is preferable to committing oneself to a single partner.
why buy the cow when you can get the milk for free,"Do not expect somebody to make a costly commitment if it will give them nothing they do not already have; used especially as a warning against having sexual intercourse before marriage (or conversely, as encouragement against getting married)."
why keep a dog and bark yourself,One should not do something that one has hired someone else to do.
words cut deep,"Insults and offensive speech hurt more than physical injuries, and are not easily forgotten."
"work smarter, not harder",Problems are solved more effectively by intelligence rather than by hard hustle.
worse things happen at sea,Things are not as bad as they seem.
wrap it before you tap it,It is wise to wear a condom before sexual intercourse.
y'all means all,Bigotry and intolerance are unacceptable; no one should be discriminated against.
yesterday is gone,It is impossible to change or to relive what has already happened.
you are what you eat,"Personal health and wellbeing is determined by one's eating habits, in both positive and negative ways."
"you buy cheap, you get cheap",Inexpensive goods and services tend to be inferior to more expensive ones.
you can catch more flies with honey than with vinegar,It is easier to persuade others with polite requests and a positive attitude rather than with rude demands and negativity.
"you can lead a horse to water, but you can't make it drink","You can show someone how to do something, but you can't make them do it."
you cannot please everyone,It is not possible to act in a manner that will please everyone
you cannot put the same shoe on every foot,A method or technique that works in one situation does not necessarily work in all situations.
"you can take the monkey out of the jungle, but you can't take the jungle out of the monkey","Black people, in the view of racists, behave badly regardless of their whereabouts or socialization."
you can't be half pregnant,Said of an either-or situation; there are only two available choices.
